,name,category
0,치킨플러스-서교점,치킨
1,디디치킨-연세대점,치킨
2,페리카나-홍익대점,치킨
3,네네치킨-서교점,치킨
4,훌랄라치킨-홍대1점,치킨
5,롯데리아-홍대점,치킨
6,KFC-홍익대점,치킨
7,컬투치킨-창전사랑점,치킨
8,BHC-창전서강점,치킨
9,처갓집양념치킨-홍대점,치킨
10,순살킹-연세대점,치킨
11,멕시카나-북아현점,치킨
12,뉴욕버거앤치킨-홍대점,치킨
13,행복한찜닭-이대본점,치킨
14,호식이두마리치킨-성산1호점,치킨
15,후라이드참잘하는집-서강대점,치킨
16,맘스터치피자앤치킨-연대점,치킨
17,지코바치킨-신촌점,치킨
18,베이직프라이드치킨-신촌직영점,치킨
19,푸라닭-신수점,치킨
20,굽네치킨&피자-서강점,치킨
21,청년치킨-서교점,치킨
22,굽네치킨&피자-신촌점,치킨
23,가마로강정-광흥창점,치킨
24,굽네치킨&피자-이대역점,치킨
25,교촌치킨-홍대점,치킨
26,치킨플러스-서교점,치킨
27,지코바치킨-홍대점,치킨
28,이나닭강정-신촌점,치킨
29,굽네치킨&피자-서교점,치킨
30,굽네치킨&피자-성산2동점,치킨
31,굽네치킨&피자-연남점,치킨
32,마깐마포깐풍기-신촌본점,치킨
33,베이직프라이드치킨-망원직영점,치킨
34,컬투치킨-연남사랑점,치킨
35,수준이다른치킨-마포신촌점,치킨
36,맥시칸치킨-연희점,치킨
37,숯미남숯불치킨에미친남자,치킨
38,순살만공격-마포신촌점,치킨
39,바른치킨-서강대점,치킨
40,디디치킨-연세대점,치킨
41,지코바치킨-서울성산1호점,치킨
42,쌀통에퐁닭,치킨
43,자담치킨-신촌점,치킨
44,티바두마리치킨-신수서강대점,치킨
45,페리카나-홍익대점,치킨
46,네네치킨-서교점,치킨
47,동근이숯불두마리치킨-망원점,치킨
48,훌랄라치킨-홍대1점,치킨
49,푸라닭-합정점,치킨
50,멕시칸치킨-연남점,치킨
51,파스타입니다-마포점,치킨
52,롯데리아-홍대점,치킨
53,롯데리아-신촌로터리점,치킨
54,KFC-홍익대점,치킨
55,처갓집양념치킨-염리점,치킨
56,네오치킨&떡볶이,치킨
57,전국3대치킨오성통닭-마포신촌점,치킨
58,살로만치킨-연남점,치킨
59,페리카나-합정동점,치킨
60,컬투치킨-합정사랑점,치킨
61,컬투치킨-창전사랑점,치킨
62,BHC-창전서강점,치킨
63,신미경홍대닭갈비3,치킨
64,위드치킨-신수점,치킨
65,꼬꼬순이,치킨
66,처갓집양념치킨-홍대점,치킨
67,빨강꼬치빨강치킨,치킨
68,디디치킨-아현점,치킨
69,순살킹-연세대점,치킨
70,치르메스치킨-신촌점,치킨
71,델리인디아,치킨
72,순살킹-아현점,치킨
73,네네앤봉구스-이대역점,치킨
74,자담치킨-서울홍대점,치킨
75,잉치킨-신촌점,치킨
76,신미불닭발-서울본점,치킨
77,푸라닭-연희점,치킨
78,치킨히어로-대흥점,치킨
79,더블플레이치킨-홍대점,치킨
80,림스치킨,치킨
81,네네치킨-이대역점,치킨
82,순살몬스터-신수마을점,치킨
83,피자나라치킨공주-신촌점,치킨
84,아라치-홍대점,치킨
85,옆집떡볶이-홍대1호점,치킨
86,썬더치킨-신촌점,치킨
87,마포통닭,치킨
88,롯데리아-대흥역점,치킨
89,피자피오,치킨
90,찌니네마약통닭-염리점,치킨
91,누구나홀딱반한닭-망원역점,치킨
92,치킨매니아-상수역점,치킨
93,넘버원치킨,치킨
94,펀비어킹-신촌유플렉스점,치킨
95,닥엔돈스직화바베큐치킨-마포성산점,치킨
96,치킨뱅이-홍대점,치킨
97,아라치-신촌점,치킨
98,멕시카나-북아현점,치킨
99,킹케밥-홍대점,치킨
100,뉴욕버거앤치킨-홍대점,치킨
101,치킨을사랑한떡볶이-이대점,치킨
102,치킨에떡볶이는못참지로제떡볶이-마포본점,치킨
103,돈치킨-성산가좌점,치킨
104,호치킨-마포도화점,치킨
105,롯데리아-이대점,치킨
106,행복한찜닭-이대본점,치킨
107,파스타어때-마포신촌본점,치킨
108,에디슨치킨-용강점,치킨
109,롯데리아-창천점,치킨
110,미친피자-홍대본점,치킨
111,호식이두마리치킨-성산1호점,치킨
112,피자나라치킨공주-마포1호점,치킨
113,곱깨비-연남본점,치킨
114,걸작떡볶이치킨-서울신촌점,치킨
115,명품임실치즈피자-마포점,치킨
116,명품임실치즈피자-신촌점,치킨
117,펭귄냉면-신촌점,치킨
118,슈츄안꼬치훠궈사골마라탕-본점,치킨
119,신촌마약떡볶이,치킨
120,곱깨비직화삼겹-가좌점,치킨
121,곱깨비직화불닭치킨-홍대입구점,치킨
122,킹케밥,치킨
123,곱깨비찜닭-서교점,치킨
124,곱깨비불맛오돌뼈-동교점,치킨
125,계림원누릉지통닭구이-합정역점,치킨
126,추닭집옛날통닭-남가좌점,치킨
127,자이온보트,치킨
128,BBQ-홍대로데오점,치킨
129,새벽집통닭,치킨
130,치킨시대-명지대점,치킨
131,치킨뱅이-광흥창점,치킨
132,처갓집양념치킨-연희점,치킨
133,걸작떡볶이치킨-서울합정점,치킨
134,네네치킨-연희점,치킨
135,치킨버스-홍대점,치킨
136,이나닭강정-명지대점,치킨
137,무궁화타운,치킨
138,피자오래-성산점,치킨
139,프랭크버거-신촌서강대점,치킨
140,보드람치킨-아현1호점,치킨
141,응암누룽지꼬꼬,치킨
142,히동이치킨-응암점,치킨
143,수퍼빌런미국식중국음식전문점,치킨
144,나들목치킨,치킨
145,걸작떡볶이치킨-서울광흥창점,치킨
146,동경닭강정-본점,치킨
147,마미치킨,치킨
148,미쳐버린파닭-신촌점,치킨
